Designator,Footprint,Quantity,Value,Manufacturer,Partnumber,LCSC Part #
C1,Nichicon_UBT1E101MPD1TD:CAP-TH_BD8.0-P3.50-D0.5-FD,1,,Nichicon,UBT1E101MPD1TD,C1579560
C2,KEMET_C315C104M5U5TA:C_Disc_D5.0mm_W2.5mm_P2.50mm,1,,KEMET,C315C104M5U5TA,C1711
"D1, D2, D3, D4, D5, D6, D7, D8, D9",ST_1N4007:DO-41_BD2.4-L4.7-P8.70-D0.9-RD,9,,ST,1N4007,C106903
D10,RUILON_P6KE15A:DO-15_BD3.1-L6.7-P10.70-D0.9-FD,1,,RUILON,P6KE15A,C10182
"D11, D12",MDD_Microdiode_Electronics_1N5408:DO-201_BD5.3-L9.5-P13.50-D1.4-RD,2,,MDD（Microdiode Electronics）,1N5408,C2460
"F1, F2, F3",Schurter_FuseHolder_5x20:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,3,,Schurter,0031.8201,C2837835
J1,BOOMELE_PinHeader_1x2_P254:PinHeader_1x02_P2.54mm_Vertical,1,,BOOMELE,2.54-1*2P,C49256
J2,BOOMELE_PinHeader_1x4_P254:PinHeader_1x04_P2.54mm_Vertical,1,,BOOMELE,2.54-1*4P,C49661
"J3, J4, J5, J6",BOOMELE_2_54_1_3P:HDR-TH_3P-P2.54-V-M-1,4,,BOOMELE,2.54-1*3P针,C49257
"K1, K2",Ningbo_Songle_Relay_SRD_12VDC_SL_C:RELAY-TH_SRD-XXVDC-XL-C,2,,Ningbo Songle Relay,SRD-12VDC-SL-C,C30431
"Q1, Q2, Q3",Jiangsu_Changjing_Electronics_Technology_Co___Ltd_BC547:TO-92-3_L4.9-W3.7-P1.27-L,3,,"Jiangsu Changjing Electronics Technology Co., Ltd.",BC547,C47089404
Q4,Vishay_IRF4905PBF:TO-220-3_Vertical,1,,Vishay,IRF4905PBF,C2564
Q5,Changjiang_Electronics_Tech_2N7000:TO-92-3_L4.9-W3.7-P1.27-L,1,,Changjiang Electronics Tech ,2N7000,C9114
"R1, R2, R3, R13",UNI_ROYAL_MFR0W4F1000A50:RES-TH_BD2.2-L6.5-P10.50-D0.6,4,,UNI-ROYAL,MFR0W4F1000A50,C57438
"R4, R6, R8",UNI_ROYAL_MFR0W4F4701A50:RES-TH_BD2.2-L6.5-P10.50-D0.6,3,,UNI-ROYAL,MFR0W4F4701A50,C57204
"R5, R7, R9, R11, R12",UNI_ROYAL_MFR0W4F1002A50:RES-TH_BD2.5-L6.5-P10.50-D0.6,5,,UNI-ROYAL,MFR0W4F1002A50,C57436
R10,UNI_ROYAL_MFR0W4F4702A50:RES-TH_BD2.5-L6.5-P10.50-D0.6,1,,UNI-ROYAL,MFR0W4F4702A50,C58605
"U1, U2, U3",UMW_PC817C:DIP-4_L4.6-W6.5-P2.54-LS7.6-BL,3,,UMW,PC817C,C3008368
U4,HGSEMI_LM7805CT:TO-220-3_L10.0-W4.5-P2.54-L,1,,HGSEMI,LM7805CT,C725349
U5,Espressif_Systems_ESP32_WROOM_32E_N4:WIFI-SMD_ESP32-WROOM-32E,1,,Espressif Systems,ESP32-WROOM-32E-N4,C701341
